,x,y,z,radian
1603,5.975197109080405,-3.4497816593886497,1888.0,5.759586531581287
9,6.681222707423582,0.0,1889.0,0.0
154,6.769368876742991,3.90829694323144,1889.0,0.5235987755982988
299,3.6899563318777306,6.391191844522714,1889.0,1.0471975511965976
444,4.59911025007303e-16,7.510917030567687,1889.0,1.5707963267948966
589,-3.515283842794758,6.088650218746491,1889.0,2.0943951023931953
734,-5.748290889748239,3.3187772925764185,1889.0,2.6179938779914944
879,-6.7685589519650655,8.289094055364181e-16,1889.0,3.141592653589793
1024,-5.3701138575279606,-3.1004366812227087,1889.0,3.6651914291880923
1169,-3.034934497816597,-5.2566607478618765,1889.0,4.1887902047863905
1314,-1.0989734376627996e-15,-5.9825327510917035,1889.0,4.71238898038469
1459,2.816593886462883,-4.878483715641598,1889.0,5.235987755982989
1604,5.067572231751735,-2.9257641921397406,1889.0,5.759586531581287
10,5.283842794759826,0.0,1890.0,0.0
155,4.462488980199291,2.5764192139737987,1890.0,0.5235987755982988
300,2.663755458515285,4.613759793087404,1890.0,1.0471975511965976
445,3.556288739882052e-16,5.807860262008734,1890.0,1.5707963267948966
590,-2.685589519650654,4.6515774963094305,1890.0,2.0943951023931953
735,-5.218843044639849,3.0131004366812224,1890.0,2.6179938779914944
880,-5.851528384279476,7.166055505927744e-16,1890.0,3.141592653589793
1025,-4.6515774963094305,-2.6855895196506556,1890.0,3.6651914291880923
1170,-2.7510917030567716,-4.765030605975514,1890.0,4.1887902047863905
1315,-1.1069951415873454e-15,-6.026200873362446,1890.0,4.71238898038469
1460,2.598253275109171,-4.500306683421319,1890.0,5.235987755982989
1605,4.954119122085652,-2.8602620087336272,1890.0,5.759586531581287
11,5.633187772925765,0.0,1891.0,0.0
156,4.386853573755236,2.5327510917030565,1891.0,0.5235987755982988
301,3.144104803493451,5.445749263972016,1891.0,1.0471975511965976
446,3.6097667660456917e-16,5.895196506550218,1891.0,1.5707963267948966
591,-3.1877729257641905,5.521384670416071,1891.0,2.0943951023931953
736,-5.370113857527961,3.1004366812227073,1891.0,2.6179938779914944
881,-6.331877729257642,7.754313793727783e-16,1891.0,3.141592653589793
1026,-5.483566967194044,-3.165938864628822,1891.0,3.6651914291880923
1171,-3.2096069868995665,-5.559202373638099,1891.0,4.1887902047863905
1316,-1.1310602533609835e-15,-6.157205240174673,1891.0,4.71238898038469
1461,2.860262008733625,-4.954119122085653,1891.0,5.235987755982989
1606,5.975197109080405,-3.4497816593886497,1891.0,5.759586531581287
12,5.807860262008734,0.0,1892.0,0.0
157,5.710473186526212,3.296943231441048,1892.0,0.5235987755982988
302,2.663755458515285,4.613759793087404,1892.0,1.0471975511965976
447,3.4493326875547723e-16,5.633187772925765,1892.0,1.5707963267948966
592,-3.034934497816593,5.256660747861877,1892.0,2.0943951023931953
737,-5.294478451083905,3.056768558951965,1892.0,2.6179938779914944
882,-5.720524017467249,7.005621427436824e-16,1892.0,3.141592653589793
1027,-5.105389934973765,-2.9475982532751095,1892.0,3.6651914291880923
1172,-3.1877729257641945,-5.5213846704160705,1892.0,4.1887902047863905
1317,-1.1872121808328052e-15,-6.462882096069869,1892.0,4.71238898038469
1462,2.6200873362445423,-4.5381243866433465,1892.0,5.235987755982989
1607,4.689395199531457,-2.707423580786029,1892.0,5.759586531581287
13,3.5807860262008737,0.0,1893.0,0.0
158,4.008676541534957,2.314410480349345,1893.0,0.5235987755982988
303,3.0567685589519664,5.294478451083905,1893.0,1.0471975511965976
448,3.6097667660456917e-16,5.895196506550218,1893.0,1.5707963267948966
593,-2.816593886462881,4.8784837156415986,1893.0,2.0943951023931953
738,-5.218843044639849,3.0131004366812224,1893.0,2.6179938779914944
883,-6.506550218340612,7.968225898382342e-16,1893.0,3.141592653589793
1028,-5.181025341417821,-2.991266375545852,1893.0,3.6651914291880923
1173,-3.056768558951968,-5.294478451083904,1893.0,4.1887902047863905
1318,-1.1551253651346214e-15,-6.2882096069869,1893.0,4.71238898038469
1463,3.144104803493451,-5.445749263972016,1893.0,5.235987755982989
1608,4.954119122085652,-2.8602620087336272,1893.0,5.759586531581287
14,4.8034934497816595,0.0,1894.0,0.0
159,5.067572231751737,2.9257641921397375,1894.0,0.5235987755982988
304,3.0567685589519664,5.294478451083905,1894.0,1.0471975511965976
449,3.155203543654753e-16,5.152838427947598,1894.0,1.5707963267948966
594,-2.8820960698689944,4.991936825307682,1894.0,2.0943951023931953
739,-4.613759793087404,2.663755458515284,1894.0,2.6179938779914944
884,-6.069868995633189,7.433445636745944e-16,1894.0,3.141592653589793
1029,-5.218843044639849,-3.0131004366812237,1894.0,3.6651914291880923
1174,-2.9475982532751117,-5.105389934973764,1894.0,4.1887902047863905
1319,-1.1230385494364374e-15,-6.113537117903931,1894.0,4.71238898038469
1464,2.991266375545852,-5.181025341417821,1894.0,5.235987755982989
1609,5.370113857527959,-3.1004366812227104,1894.0,5.759586531581287
15,5.327510917030569,0.0,1895.0,0.0
160,4.538124386643347,2.6200873362445414,1895.0,0.5235987755982988
305,2.8384279475982535,4.9163014188636245,1895.0,1.0471975511965976
450,3.770200844536612e-16,6.157205240174673,1895.0,1.5707963267948966
595,-2.9475982532751077,5.105389934973765,1895.0,2.0943951023931953
740,-5.332296154305934,3.078602620087336,1895.0,2.6179938779914944
885,-6.375545851528384,7.807791819891421e-16,1895.0,3.141592653589793
1030,-5.483566967194044,-3.165938864628822,1895.0,3.6651914291880923
1175,-3.27510917030568,-5.672655483304182,1895.0,4.1887902047863905
1320,-1.219298996530989e-15,-6.637554585152838,1895.0,4.71238898038469
1465,3.1877729257641927,-5.5213846704160705,1895.0,5.235987755982989
1610,5.6348377800821545,-3.253275109170309,1895.0,5.759586531581287
16,6.113537117903931,0.0,1896.0,0.0
161,5.672655483304183,3.2751091703056763,1896.0,0.5235987755982988
306,2.969432314410481,5.143207638195793,1896.0,1.0471975511965976
451,3.529549726800232e-16,5.764192139737991,1896.0,1.5707963267948966
596,-3.2096069868995625,5.559202373638101,1896.0,2.0943951023931953
741,-5.710473186526212,3.296943231441048,1896.0,2.6179938779914944
886,-6.986899563318778,8.55648418618238e-16,1896.0,3.141592653589793
1031,-5.937379405858379,-3.4279475982532763,1896.0,3.6651914291880923
1176,-3.384279475982536,-5.861743999414322,1896.0,4.1887902047863905
1321,-1.347646259323725e-15,-7.336244541484716,1896.0,4.71238898038469
1466,3.4497816593886474,-5.975197109080407,1896.0,5.235987755982989
1611,5.975197109080405,-3.4497816593886497,1896.0,5.759586531581287
17,6.462882096069869,0.0,1897.0,0.0
162,5.521384670416071,3.1877729257641914,1897.0,0.5235987755982988
307,3.253275109170307,5.634837780082155,1897.0,1.0471975511965976
452,4.27824209309119e-16,6.986899563318778,1897.0,1.5707963267948966
597,-3.515283842794758,6.088650218746491,1897.0,2.0943951023931953
742,-5.710473186526212,3.296943231441048,1897.0,2.6179938779914944
887,-6.986899563318778,8.55648418618238e-16,1897.0,3.141592653589793
1032,-5.786108592970268,-3.340611353711792,1897.0,3.6651914291880923
1177,-3.3624454148471647,-5.823926296192294,1897.0,4.1887902047863905
1322,-1.1952338847573513e-15,-6.506550218340612,1897.0,4.71238898038469
1467,3.144104803493451,-5.445749263972016,1897.0,5.235987755982989
1612,5.332296154305931,-3.0786026200873393,1897.0,5.759586531581287
18,6.986899563318778,0.0,1898.0,0.0
163,4.991936825307682,2.8820960698689952,1898.0,0.5235987755982988
308,2.445414847161573,4.235582760867124,1898.0,1.0471975511965976
453,3.529549726800232e-16,5.764192139737991,1898.0,1.5707963267948966
598,-2.8820960698689944,4.991936825307682,1898.0,2.0943951023931953
743,-5.407931560749989,3.1222707423580784,1898.0,2.6179938779914944
888,-6.113537117903931,7.486923662909584e-16,1898.0,3.141592653589793
1033,-5.105389934973765,-2.9475982532751095,1898.0,3.6651914291880923
1178,-3.0786026200873393,-5.332296154305932,1898.0,4.1887902047863905
1323,-1.0267781023418857e-15,-5.589519650655022,1898.0,4.71238898038469
1468,2.729257641921398,-4.727212902753486,1898.0,5.235987755982989
1613,5.256660747861876,-3.034934497816597,1898.0,5.759586531581287
19,6.375545851528384,0.0,1899.0,0.0
164,4.727212902753487,2.729257641921397,1899.0,0.5235987755982988
309,2.7510917030567694,4.7650306059755145,1899.0,1.0471975511965976
454,3.796939857618432e-16,6.2008733624454155,1899.0,1.5707963267948966
599,-3.034934497816593,5.256660747861877,1899.0,2.0943951023931953
744,-4.954119122085654,2.860262008733624,1899.0,2.6179938779914944
889,-6.419213973799128,7.861269846055063e-16,1899.0,3.141592653589793
1034,-5.823926296192295,-3.3624454148471625,1899.0,3.6651914291880923
1179,-3.4497816593886497,-5.975197109080406,1899.0,4.1887902047863905
1324,-1.275450924002811e-15,-6.943231441048035,1899.0,4.71238898038469
