Year,MeanTemp
1743,5.18414
1744,9.8378975
1745,1.3871250000000002
1746,
1747,
1748,
1749,
1750,9.129352727272726
1751,9.1673875
1752,4.413386666666667
1753,8.870820755
1754,8.802188679245283
1755,8.509773899
1756,9.161686582809224
1757,8.985098770726129
1758,8.206852366255145
1759,9.261257716049384
1760,8.704448512906847
1761,8.933891975308642
1762,8.503997839506173
1763,8.020547530864198
1764,8.768348868312758
1765,8.497105078563411
1766,8.620333333333335
1767,8.201054152637486
1768,7.568826149425288
1769,8.40522658
1770,8.608895454545454
1771,8.429763636363637
1772,9.105813271604939
1773,9.153548484848484
1774,7.848162280701755
1775,9.332174242424243
1776,8.348922805642633
1777,8.312795197740114
1778,8.486794252873564
1779,8.610711864
1780,8.819808545986175
1781,8.82382904
1782,7.637988902340598
1783,8.932240327380951
1784,7.977893939393939
1785,7.774325892857143
1786,7.96315625
1787,10.884465494791666
1788,10.385879370629372
1789,10.675001721763087
1790,10.89194375
1791,11.496273284313725
1792,10.904416666666666
1793,9.729537500000001
1794,10.287671338383838
1795,9.511013288623944
1796,10.208195165945167
1797,10.412100505050507
1798,10.911429166666666
1799,9.928726923076923
1800,10.804132051282052
1801,11.203676666666667
1802,11.073671794871794
1803,11.504276995305165
1804,11.95838665325285
1805,9.716625118371212
1806,10.809632812499999
1807,10.552028740530304
1808,9.068208333333333
1809,9.458086519607843
1810,9.389049751243782
1811,10.141847993827161
1812,8.469811073059361
1813,9.866939459530368
1814,9.03075
1815,9.167272527910685
1816,9.544993381344307
1817,10.375892670682731
1818,10.451366009492515
1819,10.591325800619835
1820,10.549274374699374
1821,11.219165925925926
1822,11.391454458376872
1823,10.61023696643858
1824,14.641853729603728
1825,15.753609217171714
1826,14.942418579234971
1827,15.065102521112767
1828,14.860279309488327
1829,14.032129371584698
1830,11.284793439716314
1831,10.992611979166668
1832,11.044424171717171
1833,11.032854166666667
1834,11.697081699346404
1835,11.353996105919004
1836,11.682092732884401
1837,11.656071831955922
1838,11.53004407979408
1839,12.524000142450141
1840,12.708439642324887
1841,13.123744533333335
1842,12.853328870673952
1843,13.581048295454545
1844,12.737334266666666
1845,14.909760792488644
1846,15.693072177251972
1847,14.946831609195403
1848,15.195824404761904
1849,16.125550925925925
1850,16.9077663
1851,16.761938386757752
1852,15.926416145833333
1853,16.140916290973983
1854,16.255743265002973
1855,16.147852399505258
1856,17.283416106060606
1857,17.08714467617768
1858,17.29151769
1859,17.799470134999282
1860,17.19631125769894
1861,17.300191070903207
1862,16.702836574507966
1863,16.44540065913371
1864,16.728614370748296
1865,16.632837065712064
1866,16.616842402163712
1867,16.459118868240417
1868,17.095686625416466
1869,17.163616135173726
1870,16.78138100904331
1871,16.148392223338355
1872,16.758112891344382
1873,17.665521709816613
1874,17.41734634648765
1875,17.58424686578171
1876,17.926389955247885
1877,18.024450980392157
1878,18.304560933660934
1879,17.392064546430486
1880,17.760012720090074
1881,17.91458936223219
1882,17.819799999999997
1883,18.011056286549707
1884,17.870114151382243
1885,17.940836981520683
1886,17.93984646685193
1887,17.81775380116959
1888,17.725894656203288
1889,18.175629912663755
1890,18.072446548821553
1891,18.192107344632767
1892,18.215350988700568
1893,18.135379943502826
1894,18.281876816690108
1895,18.25352145403616
1896,18.34111204481793
1897,18.509124739895963
1898,18.37668298171589
1899,18.448111884669476
1900,18.54545147679325
1901,18.53269852941176
1902,18.338803208556147
1903,18.43477083333334
1904,18.211075
1905,18.39950868055556
1906,18.481419097222222
1907,18.148245138888893
1908,18.302310243055555
1909,18.34412777777778
1910,18.380081249999996
1911,18.408202430555555
1912,18.464740972222224
1913,18.491489583333337
1914,18.660602430555556
1915,18.711239930555557
1916,18.551877430555557
1917,18.242554166666665
1918,18.39374027777778
1919,18.531861458333335
1920,18.541644791666666
1921,18.607624084595955
1922,18.504153125000002
1923,18.565419444444448
1924,18.621859027777774
1925,18.588913194444444
1926,18.86793229166667
1927,18.739181944444447
1928,18.738459027777775
1929,18.48581944444444
1930,18.84507244318182
1931,18.7554
1932,18.746082638888886
1933,18.558323958333332
1934,18.818823611111114
1935,18.722310763888892
1936,18.81061944444445
1937,18.957946874999998
1938,18.873445138888886
1939,18.811529166666666
1940,18.70296423611111
1941,18.881445486111108
1942,18.76261076388889
1943,18.817043402777777
1944,18.857434722222226
1945,18.80656736111111
1946,18.924414236111108
1947,19.040987847222222
1948,18.761237672176307
1949,18.725664807162538
1950,18.588817148760327
1951,18.77511914600551
1952,18.80569146
1953,18.855640495867767
1954,18.580321280991736
1955,18.657285468319557
1956,18.287587121212123
1957,18.759615013774102
1958,18.94217320936639
1959,18.825205922865017
1960,18.887013085399445
1961,18.923565426997246
1962,18.69384745179064
1963,18.675247933884293
1964,18.581274793388427
1965,18.517540633608814
1966,18.86628753443526
1967,18.63418698347108
1968,18.605818870523418
1969,18.77152582644628
1970,18.794121212121212
1971,18.588206611570246
1972,18.665611570247933
1973,18.87329338842975
1974,18.631447314049588
1975,18.746661845730028
1976,18.48219662534435
1977,18.922260674931135
1978,18.729517217630853
1979,18.909544077134985
1980,18.853321280991736
1981,18.91613636363636
1982,18.85216873278237
1983,19.094044077134985
1984,18.76496074380165
1985,18.69913085399449
1986,18.80115185950413
1987,19.051044765840217
1988,19.111678719008264
1989,19.05676687327823
1990,19.317686294765842
1991,19.01135984848485
1992,18.97200723140496
1993,18.93079958677686
1994,19.25170179063361
1995,19.26706955922865
1996,18.958374655647386
1997,19.250350895316803
1998,19.596783057851233
1999,19.392099517906335
2000,19.34920213498623
2001,19.42530337465565
