Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,21.6320987654321,14.592005542957924,17.120818907196085,17.18308855513028,17.73143582670646,17.179673961772497,17.51600213030918,16.40429815707439,15.907226442568954,15.359732533993288,16.278470088752346,15.935181408698279,16.059150084455982,15.836012260340219,15.470712792285374,15.703472136392975,15.745000924503614,15.874431390769503,16.01704820219605,15.956199446573011,15.738218268191389,16.63834670825489,16.411970519369945,11.2922071374018
Algeria,18.010245437317185,17.454082039028275,18.25622510951812,17.46640954403798,18.213086704215737,17.85900692127055,18.09938093815782,17.866676896381197,18.53730905444615,17.80447754020242,17.121905757524036,18.247177419354838,17.560600500654264,17.765885963828122,18.106438284847165,17.90116202992547,18.266803564317005,17.903298589653797,17.56204557091654,18.654436590114607,18.234394023439723,18.4816493634903,18.303540848836548,17.944701196508763,18.250796278803477,15.154909348468857
Argentina,16.529016968197077,17.06792732665925,17.320014080901178,16.592376909142192,16.617048202196052,16.91195137944767,17.468594849329616,17.145091601689213,16.653032249236364,17.02690678257048,16.87639742276839,17.07737206292314,16.31651305683564,17.443595531876493,17.262317490235084,17.253561116800366,17.387140865904307,17.64219794971093,17.186205694942256,17.57773795300677,17.728603786197873,16.778244688886144,17.883425072537978,17.572565641391346,17.28301884270785,20.278014983409868
Australia,16.41991878591341,16.26786248656382,16.791554801729532,16.80092206793289,16.97313271604938,16.827011391257777,16.84635890968627,17.01923782043359,16.92194666018538,16.975777372663728,17.08831676338397,17.07060974569039,17.384541161745464,16.752648741312147,17.47652138962947,17.099949010069977,17.002454414860328,16.82414805888573,17.46440406090752,17.534876764458605,17.299456534107073,17.4717694915069,17.505707671957673,17.42411192464846,17.715162397719272,19.701395491666908
Austria,10.113295073106901,8.68043264807262,9.791775473630313,10.591966103114551,10.44726773624623,11.523715307818016,10.40401056778745,11.104327989811862,10.756315781987825,10.321503659759129,10.100370157023383,10.63055591113387,11.658511833646243,11.430196102665514,10.948707779366847,9.542151675485009,10.652414021164022,11.016771721666048,10.736310590544463,11.80025941413337,11.847103103487512,11.184137381727297,11.255806593844229,11.970234895033284,12.145300946770172,7.959083692231635
Bahamas,25.029468552654038,24.44329536247408,25.126938772357292,25.540217122803742,25.313151419468625,25.203696494046884,25.24651477941502,26.09797661886789,26.468477271434264,25.681213328176458,26.16123757982665,25.953410233069732,26.537335295035728,26.406403413649894,26.282470908789506,25.673874239062414,26.57145346191045,25.88980382867109,25.638772970358996,25.88071098278685,26.30659206633669,26.288573895549238,26.883506855549868,26.138217052958225,26.173792243520953,24.382299056564907
Bahrain,26.228077885873585,26.7439246625194,25.944591298287534,27.78275172574008,27.882391761961653,26.973795129018526,27.346479774705582,27.1634763086376,27.167977328326796,27.07673598236724,26.731264578710817,27.185060377197473,27.189407322068615,26.95548912371771,27.402760256349893,28.251036155202826,27.1311849291688,27.574883100564417,27.297114837571826,27.73944532943936,28.052882673379987,27.829812102610585,28.0666958240883,28.394115415979215,28.273480002166718,23.15429185324625
Bangladesh,26.266857082344412,25.94906532211886,25.128296497740944,25.725720164609054,25.812747721738955,25.65944657837019,25.8114432934584,25.495686855801452,25.902251429997495,25.756604410548558,26.125154065881873,26.29553241033062,25.695611363609032,25.679953302869972,26.386970940109716,27.03064954098429,,,,,,,,,,
Barbados,27.358215992490187,27.1798396604014,27.09525089605735,27.507338463361105,26.957297178130514,26.78629066589764,27.043702787101832,27.34910530837487,27.39492548908335,27.388519098342773,27.80678585651704,27.58511798088411,27.2645541759117,26.820487208499355,27.280031433122833,27.79594747397167,27.429483486943166,27.016417418530878,27.086330502929968,27.02363987344573,27.456229376457873,27.539746323075022,27.17955600552375,26.235297832394604,,
Belarus,6.812491821698811,5.328983678710227,6.05489275758093,6.839611700580936,8.197173152415088,8.292265583158242,7.359787648631735,8.140519817199925,6.918909299084031,7.029150530768068,7.22744708994709,7.225679510155317,8.094440177504694,8.280045214847773,7.185491166453811,7.103908516811742,7.969245320589407,7.228086248094591,7.9102161204983785,8.15624861719545,8.949137722592024,7.994804412309975,8.249539445129066,8.706586252276347,8.680679173376936,4.860017650952023
Belgium,10.91870021903624,8.976536686853706,10.606912797974626,10.62636794927715,11.114757211128179,11.276741303780605,10.83737661432554,11.339067525962689,11.246747169596633,10.892740218898915,11.139156994936565,11.093145872446948,11.185681928087844,10.574725003089855,10.673678376718792,9.319898873527906,11.350124096831086,10.37478817341628,9.865021761392729,11.695636421965574,11.014203220117198,10.851894766475782,11.151765801900211,11.571882012794498,11.341495435954814,8.635930362637817
Belize,27.15826556018127,26.829034146307972,27.70640752119247,27.69063209213181,26.821840637647554,26.897095538252383,27.19490574804195,27.437518918275316,27.470940006827107,27.451112377705584,27.65043049498463,27.280163352676794,27.686802376205467,27.368929158861132,27.544860826648463,27.134388413204125,27.454941827388065,27.27427405622159,27.087843844228257,27.129276737908757,27.57450823519372,27.390816957112843,27.365266399271775,27.215391828499758,27.686185275755477,27.352060519919252
Benin,27.594275765449755,27.44994852152445,27.168224320379494,28.103703370418703,27.393636570518293,27.65849803721966,27.525523963035553,27.445629462460662,27.676830266010374,27.38503000590505,27.55518362064061,27.690038473573424,27.358669710417022,27.345547981180164,27.5283254051631,28.102066621152645,27.5014514706719,27.344763900904983,27.56674596063037,27.588513872295238,27.54566763383968,27.8883267073154,27.874540592820164,27.910311629378082,28.02963650823078,28.817476968711674
