Entity,Code,Year,Annual CO₂ emissions,Country (or dependency),Population (2020),Density (P/Km²),Land Area (Km²)
Belgium,BEL,2020.0,91101384.0,Belgium,11598451,383,30280
Haiti,HTI,2020.0,2512561.0,Haiti,11426356,414,27560
Cuba,CUB,2020.0,21277102.0,Cuba,11325391,106,106440
South Sudan,SSD,2020.0,1692768.0,South Sudan,11216250,18,610952
Dominican Republic,DOM,2020.0,23501650.0,Dominican Republic,10866667,225,48320
Greece,GRC,2020.0,55619772.0,Greece,10413936,81,128900
Jordan,JOR,2020.0,21128764.0,Jordan,10220604,115,88780
Portugal,PRT,2020.0,41695200.0,Portugal,10191409,111,91590
Azerbaijan,AZE,2020.0,36149228.0,Azerbaijan,10154978,123,82658
Sweden,SWE,2020.0,36686484.0,Sweden,10110233,25,410340
Honduras,HND,2020.0,9526111.0,Honduras,9931333,89,111890
United Arab Emirates,ARE,2020.0,216768320.0,United Arab Emirates,9910892,118,83600
Hungary,HUN,2020.0,47335468.0,Hungary,9655983,107,90530
Tajikistan,TJK,2020.0,9298944.0,Tajikistan,9573310,68,139960
Belarus,BLR,2020.0,59055548.0,Belarus,9448772,47,202910
Austria,AUT,2020.0,62121252.0,Austria,9015361,109,82409
Papua New Guinea,PNG,2020.0,7723852.0,Papua New Guinea,8975531,20,452860
Serbia,SRB,2020.0,45169760.0,Serbia,8731081,100,87460
Israel,ISR,2020.0,55697504.0,Israel,8678517,400,21640
Switzerland,CHE,2020.0,34235224.0,Switzerland,8665615,219,39516
Togo,TGO,2020.0,2381218.0,Togo,8310934,152,54390
Sierra Leone,SLE,2020.0,1025920.06,Sierra Leone,8004158,111,72180
Hong Kong,HKG,2020.0,33497124.0,Hong Kong,7507523,7140,1050
Laos,LAO,2020.0,19674886.0,Laos,7293542,32,230800
Paraguay,PRY,2020.0,7366268.0,Paraguay,7147553,18,397300
Bulgaria,BGR,2020.0,36533612.0,Bulgaria,6939018,64,108560
Libya,LBY,2020.0,47068096.0,Libya,6887247,4,1759540
Lebanon,LBN,2020.0,22279648.0,Lebanon,6819976,667,10230
Nicaragua,NIC,2020.0,4748407.0,Nicaragua,6638075,55,120340
Kyrgyzstan,KGZ,2020.0,8348849.5,Kyrgyzstan,6542426,34,191800
El Salvador,SLV,2020.0,6594499.0,El Salvador,6491923,313,20720
Turkmenistan,TKM,2020.0,67697480.0,Turkmenistan,6046292,13,469930
Singapore,SGP,2020.0,54813440.0,Singapore,5858322,8358,700
Denmark,DNK,2020.0,28299676.0,Denmark,5795780,137,42430
Finland,FIN,2020.0,37735000.0,Finland,5542237,18,303890
Congo,COG,2020.0,7391505.0,Congo,5540555,16,341500
Slovakia,SVK,2020.0,31096626.0,Slovakia,5460109,114,48088
Norway,NOR,2020.0,41231000.0,Norway,5428594,15,365268
Oman,OMN,2020.0,65428856.0,Oman,5128058,16,309500
Costa Rica,CRI,2020.0,6763180.0,Costa Rica,5102158,100,51060
Liberia,LBR,2020.0,769421.0,Liberia,5077411,53,96320
Ireland,IRL,2020.0,35123776.0,Ireland,4947267,72,68890
Central African Republic,CAF,2020.0,238160.0,Central African Republic,4843954,8,622980
New Zealand,NZL,2020.0,34237324.0,New Zealand,4829021,18,263310
Mauritania,MRT,2020.0,4118336.2,Mauritania,4669775,5,1030700
Panama,PAN,2020.0,10324345.0,Panama,4326296,58,74340
Kuwait,KWT,2020.0,97712410.0,Kuwait,4281320,240,17820
Croatia,HRV,2020.0,16870528.0,Croatia,4100719,73,55960
Moldova,MDA,2020.0,5241230.0,Moldova,4032294,123,32850
Georgia,GEO,2020.0,10574546.0,Georgia,3987805,57,69490
Eritrea,ERI,2020.0,640911.0,Eritrea,3554797,35,101000
Uruguay,URY,2020.0,6477168.0,Uruguay,3475842,20,175020
Bosnia and Herzegovina,BIH,2020.0,20831812.0,Bosnia and Herzegovina,3277152,64,51000
Mongolia,MNG,2020.0,37076764.0,Mongolia,3287242,2,1553560
Armenia,ARM,2020.0,6799022.0,Armenia,2964219,104,28470
Jamaica,JAM,2020.0,6462606.0,Jamaica,2963429,273,10830
Qatar,QAT,2020.0,102501230.0,Qatar,2889284,248,11610
Albania,ALB,2020.0,5018921.0,Albania,2877239,105,27400
Lithuania,LTU,2020.0,13538674.0,Lithuania,2715340,43,62674
Namibia,NAM,2020.0,3681840.0,Namibia,2548663,3,823290
Gambia,GMB,2020.0,699824.0,Gambia,2427782,239,10120
Botswana,BWA,2020.0,5550960.0,Botswana,2359585,4,566730
Gabon,GAB,2020.0,5928799.0,Gabon,2234448,9,257670
Lesotho,LSO,2020.0,2172752.0,Lesotho,2145194,71,30360
