year,methane,nitrous_oxide,total_co2
1999,33.31,14.76,97.10499999999999
2000,32.76,14.67,96.56700000000002
2001,33.08,14.82,102.35
2002,33.82,15.12,103.40100000000001
2003,33.94,15.48,110.17100000000002
2004,33.85,15.51,110.655
2005,33.75,15.58,116.58800000000001
2006,33.94,15.38,114.495
2007,33.89,15.23,112.91899999999998
2008,33.3,14.81,115.483
2009,33.61,14.57,104.845
2010,33.58,14.8,105.931
2011,33.51,14.88,105.352
2012,33.99,15.03,110.68700000000001
2013,33.81,15.0,109.815
2014,34.1,15.23,109.95700000000001
2015,33.22,15.06,110.29099999999998
2016,33.18,14.98,106.42099999999999
2017,32.96,15.03,109.841
2018,32.78,15.07,110.339
2019,32.58,15.01,113.22699999999999
2020,32.24,14.91,107.428
1990,916.03,343.44,17886.079
1991,921.11,340.72,17709.354
1992,927.75,345.71,18175.365999999998
1993,928.21,348.44,18437.292
1994,943.16,357.2,18808.490999999998
1995,940.82,360.05,18958.847
1996,945.43,371.51,19596.056999999997
1997,937.56,362.13,20011.002000000004
1998,940.47,363.4,20359.444
1999,915.66,353.26,20738.937000000005
2000,914.17,350.27,21556.896
2001,903.66,341.67,21300.328
2002,904.35,343.66,21546.492
2003,915.3,357.5,21956.148
2004,914.66,352.63,22309.065
2005,919.56,361.33,22564.948999999997
2006,925.79,363.57,22405.602
2007,933.08,373.2,22570.076999999997
2008,939.74,354.95,21775.079999999994
2009,928.36,351.82,20271.973
2010,948.46,360.48,20945.221
2011,960.17,375.32,20613.793
2012,971.7,367.34,20068.097999999998
2013,973.31,371.72,20433.446000000004
2014,1009.29,370.7,20562.329999999998
2015,1020.04,371.04,20207.5
2016,1003.34,378.89,19763.732
2017,1022.95,379.57,19642.497999999996
2018,1072.17,383.92,20186.271000000004
2019,1113.03,379.51,19848.968
2020,1075.61,378.87,17939.668
2003,5.44,4.86,130.076
2004,5.38,5.01,133.43099999999998
2005,5.25,5.11,130.662
2006,5.19,4.77,137.441
2007,5.05,4.55,146.076
2008,4.99,4.15,140.298
2009,4.99,3.58,137.62800000000001
2010,4.96,3.46,146.63199999999998
2011,4.86,3.45,140.681
2012,4.82,3.44,136.678
2013,4.7,3.43,137.916
2014,4.62,3.47,138.39700000000002
2015,4.64,3.5,141.42900000000003
2016,4.62,3.53,138.742
2017,4.61,3.55,138.482
2018,4.5,3.51,138.428
2019,4.37,3.57,134.59900000000002
2020,4.34,3.52,129.46800000000002
1990,184.23,95.73,889.222
1991,185.26,94.5,894.2210000000002
1992,184.26,93.46,912.2060000000001
1993,183.89,93.12,921.651
1994,186.64,93.37,941.2180000000001
1995,187.61,93.69,971.0420000000001
1996,182.76,88.76,996.1669999999998
1997,196.71,92.4,1026.504
1998,187.81,92.07,1070.6970000000001
1999,204.49,110.04,1095.9279999999997
2000,209.99,116.34,1103.152
2001,219.78,126.83,1134.002
2002,215.14,121.3,1164.505
2003,176.99,82.97,1203.6129999999996
2004,194.4,103.65,1242.093
2005,175.23,80.44,1254.9720000000002
2006,196.63,102.5,1277.5749999999998
2007,192.42,95.44,1305.327
2008,174.94,78.71,1309.5870000000002
2009,180.69,83.75,1336.817
2010,171.53,71.5,1335.5500000000002
2011,220.81,124.89,1332.5929999999998
2012,221.71,124.73,1349.716
2013,187.1,81.81,1314.82
2014,200.89,93.95,1306.6750000000002
2015,198.23,90.54,1325.131
2016,181.08,75.37,1330.6290000000001
2017,203.49,97.27,1346.3880000000004
2018,202.76,95.2,1340.7279999999998
2019,199.08,89.4,1341.9009999999996
2020,181.59,72.13,1287.01
1990,45.22,26.76,1075.8380000000002
1991,43.48,25.19,1084.299
1992,41.73,24.93,1076.5310000000002
1993,41.05,25.48,1067.4730000000002
1994,39.92,25.69,1044.496
1995,38.94,26.16,1046.605
1996,38.17,26.18,1083.7300000000002
1997,37.96,26.53,1056.665
1998,36.51,25.26,974.891
1999,35.62,24.78,967.6260000000001
2000,34.27,25.1,934.909
2001,33.47,24.92,922.4259999999999
2002,33.25,24.45,897.0819999999999
2003,33.17,25.08,922.611
2004,32.53,25.14,938.311
2005,32.83,25.95,934.9729999999998
2006,33.23,26.3,990.3960000000001
2007,32.93,27.27,996.9559999999999
2008,32.59,26.15,988.2860000000001
2009,32.27,22.88,942.368
2010,32.8,23.66,998.201
2011,31.72,23.35,992.743
2012,31.22,23.77,976.4949999999999
2013,30.95,22.9,954.9780000000001
2014,30.24,22.39,920.6929999999999
2015,29.83,22.59,936.4759999999999
2016,29.0,23.5,956.2059999999999
2017,29.36,24.13,995.659
2018,30.24,23.04,1004.1050000000001
2019,29.7,23.41,947.815
2020,29.54,22.87,895.4370000000001
1990,11.12,4.05,142.49099999999999
1991,11.23,3.96,148.415
1992,11.33,3.87,161.89999999999998
1993,11.3,3.76,157.32999999999998
1994,11.72,3.72,159.793
1995,11.93,3.86,172.502
1996,12.14,3.99,164.30100000000004
1997,12.29,3.92,180.045
1998,12.58,4.09,199.28000000000003
1999,12.65,4.04,231.622
2000,12.65,4.04,242.139
2001,12.41,3.71,243.684
2002,12.66,3.73,253.13500000000002
2003,13.01,3.78,241.00699999999998
2004,13.1,3.71,245.404
2005,12.77,3.72,267.90500000000003
2006,12.56,3.63,244.374
2007,12.43,3.79,240.219
2008,11.99,3.69,235.07199999999997
2009,11.82,3.42,209.75099999999998
2010,11.64,3.37,201.70500000000004
2011,11.92,3.1,166.475
2012,11.69,3.12,151.77399999999997
2013,11.49,3.13,145.973
2014,11.46,3.25,144.67700000000002
2015,11.5,3.24,156.317
2016,11.5,3.25,155.251
2017,11.82,3.52,168.37
2018,11.4,3.14,158.599
2019,11.44,3.16,147.327
2020,11.44,3.16,131.05
1990,29.87,18.12,516.284
1991,26.88,12.99,414.396
1992,24.31,13.31,384.357
1993,22.13,13.14,357.33700000000005
1994,21.98,11.69,346.159
1995,21.3,11.83,356.93300000000005
1996,21.6,11.86,359.87399999999997
1997,21.18,11.4,326.627
1998,20.31,10.41,297.91900000000004
1999,19.89,9.77,257.483
2000,19.43,10.57,276.736
2001,18.73,10.29,294.285
2002,18.61,9.33,294.576
2003,19.1,9.95,305.19199999999995
2004,19.19,11.09,305.278
2005,19.16,11.17,304.42600000000004
2006,19.1,10.15,314.12000000000006
2007,19.1,10.18,331.299
2008,19.05,9.27,332.31399999999996
2009,18.57,8.72,269.78700000000003
2010,18.21,9.24,266.256
2011,16.34,9.16,281.916
2012,16.89,8.42,275.174
2013,17.08,8.62,238.438
2014,17.18,8.35,239.88199999999998
2015,17.21,8.57,235.55799999999996
2016,17.08,8.66,234.20100000000005
2017,17.06,9.17,244.13000000000005
2018,16.81,9.76,248.944
2019,16.64,9.68,238.92100000000002
2020,16.46,9.16,228.91400000000002
1990,648.6,111.92,7114.906
1991,621.29,106.19,6891.7210000000005
1992,583.93,98.19,4709.548
1993,560.84,90.23,4846.938999999999
1994,537.56,76.87,4471.77
1995,515.86,71.7,4408.062999999999
1996,510.75,72.97,4427.466
1997,479.53,63.54,4142.503000000001
1998,481.78,62.08,3986.006
1999,479.74,58.09,3999.573999999999
2000,487.81,59.91,3954.522
2001,492.01,59.74,4143.754000000001
2002,503.34,60.4,4132.432
2003,536.56,62.43,4235.651000000001
2004,540.77,58.82,4272.938
2005,552.23,56.62,4323.713000000001
2006,550.47,57.93,4487.999000000001
2007,556.44,57.44,4561.0019999999995
2008,558.55,66.33,4639.883000000001
2009,541.4,61.3,4376.898000000001
2010,559.95,60.17,4627.5599999999995
2011,569.13,63.23,4796.515
2012,563.78,62.86,4873.907
2013,563.78,60.68,4713.468
2014,566.14,64.92,4675.168
2015,570.04,62.57,4599.951
2016,586.62,67.2,4634.504
2017,597.32,66.35,4732.531999999999
2018,621.42,68.62,4787.6630000000005
2019,623.8,70.42,4798.495
2020,618.82,70.97,4630.276
1990,7.57,3.98,196.059
1991,7.37,2.98,163.885
1992,6.96,2.73,153.82199999999997
1993,6.48,2.46,144.34000000000003
1994,6.08,2.81,132.36400000000003
1995,5.91,2.9,134.83100000000002
1996,5.96,3.13,136.31400000000002
1997,5.81,3.03,135.441
1998,5.74,2.82,136.148
1999,5.53,2.32,131.367
2000,5.21,2.57,128.526
2001,5.08,2.76,134.811
2002,5.1,2.76,129.72
2003,5.0,2.8,128.523
2004,4.99,2.98,131.67200000000003
2005,4.81,2.84,128.415
2006,4.63,3.17,130.262
2007,4.53,2.97,130.578
2008,4.67,2.88,134.62800000000001
2009,4.43,2.64,123.96299999999998
2010,4.53,2.47,127.99999999999999
2011,4.65,2.15,125.079
2012,4.15,2.03,115.182
2013,4.32,1.94,114.395
2014,4.08,2.02,106.92
2015,4.19,1.94,109.236
2016,4.27,2.05,110.5
2017,4.26,1.96,113.11
2018,4.26,2.03,114.32699999999997
2019,4.41,2.04,107.78800000000003
2020,4.41,2.03,99.329
1990,2.43,1.13,46.662
1991,2.39,1.02,43.547000000000004
1992,2.11,0.92,47.507999999999996
1993,2.14,0.89,46.809
1994,2.12,0.91,46.699
1995,2.13,0.86,49.538
1996,2.16,0.81,50.263000000000005
1997,2.12,0.87,51.83
1998,2.1,0.85,51.092000000000006
1999,2.02,0.83,48.952000000000005
2000,2.15,0.87,49.193
2001,2.25,0.88,52.737
2002,2.18,0.86,52.644
2003,2.22,0.87,51.472
2004,2.15,0.83,52.567
2005,2.16,0.83,52.853
2006,2.09,0.83,55.29
2007,2.07,0.84,57.547
2008,2.03,0.83,59.92399999999999
2009,1.92,0.81,51.78499999999999
2010,1.92,0.82,52.858999999999995
2011,1.9,0.84,54.11299999999999
2012,1.85,0.83,50.41199999999999
2013,1.81,0.8,48.32899999999999
2014,1.73,0.79,44.69699999999999
2015,1.77,0.81,44.87599999999999
2016,1.8,0.81,47.236000000000004
2017,1.79,0.81,49.062
2018,1.73,0.81,50.189
2019,1.72,0.82,48.659
2020,1.7,0.81,44.516000000000005
1990,736.65,219.18,1802.6100000000001
1991,761.74,221.5,1833.493
1992,774.51,222.77,1879.6420000000003
1993,783.04,224.72,1976.4239999999998
1994,801.5,229.18,1986.4320000000002
1995,832.62,232.62,2094.647
1996,851.64,222.36,2179.3880000000004
1997,879.66,228.14,2338.9230000000002
1998,896.07,239.33,2518.3340000000003
1999,890.78,239.94,2404.3949999999995
2000,885.76,234.33,2375.734
2001,901.22,245.44,2322.773
2002,910.14,264.05,2324.833
2003,924.56,273.14,2373.777
2004,973.9,292.29,2478.251
2005,993.96,289.11,2563.1839999999997
2006,988.43,283.84,2649.1159999999995
2007,1000.44,306.0,2788.9120000000007
2008,997.02,286.41,2967.284
2009,981.33,273.87,2880.314
2010,1011.45,316.53,3223.7070000000003
2011,994.75,295.94,3313.4730000000004
2012,1015.34,299.01,3441.714
2013,1015.11,297.01,3646.735
2014,1021.01,305.04,3753.178
2015,1022.7,305.4,3569.222
2016,1012.53,308.17,3392.9759999999997
2017,993.71,323.36,3364.7029999999995
2018,952.4,311.04,3136.913
2019,947.47,333.89,3144.601
2020,922.06,348.01,2867.156
1990,24.25,7.73,821.6160000000001
1991,24.45,7.88,893.403
1992,24.55,10.21,995.0149999999999
1993,24.69,10.45,1064.103
1994,24.98,10.95,1136.989
1995,25.13,11.85,1218.961
1996,25.76,12.45,1332.8199999999997
1997,26.06,13.55,1387.8209999999997
1998,24.41,13.3,1116.836
1999,24.15,14.15,1257.234
2000,24.35,15.02,1365.1840000000002
2001,24.83,15.2,1396.4750000000001
2002,24.63,14.94,1476.7339999999997
2003,24.6,18.23,1512.8770000000002
2004,23.6,20.85,1535.5610000000001
2005,23.76,19.38,1578.711
2006,23.76,18.02,1614.0720000000001
2007,23.32,9.79,1676.094
2008,23.3,8.97,1704.33
2009,23.64,8.93,1650.39
2010,23.8,9.26,1839.203
2011,23.42,9.39,1921.2939999999999
2012,23.41,9.54,1911.449
2013,23.21,9.6,1925.8789999999997
2014,22.95,9.61,1931.693
2015,22.74,9.87,1935.998
2016,22.4,10.01,1931.587
2017,22.3,10.18,1999.0100000000002
2018,22.26,10.31,2062.5460000000003
2019,22.1,10.31,1999.806
2020,21.99,10.1,1854.317
1990,34.1,22.25,725.914
1991,34.17,21.48,751.0910000000001
1992,34.63,19.91,789.656
1993,34.23,20.4,752.0989999999998
1994,34.65,21.01,780.216
1995,35.03,20.71,819.6820000000001
1996,35.85,22.81,779.1409999999998
1997,37.66,22.5,809.362
1998,38.02,23.78,840.9899999999999
1999,38.53,23.71,911.7070000000001
2000,39.22,23.85,955.397
2001,39.81,23.39,959.3570000000001
2002,40.18,23.03,1022.7559999999999
2003,40.17,24.04,1031.3139999999999
2004,39.86,23.31,1091.603
2005,39.6,21.96,1147.9129999999998
2006,39.35,22.32,1135.613
2007,40.04,22.87,1163.2400000000002
2008,38.47,20.59,1065.044
2009,40.17,20.26,938.547
2010,38.6,20.72,894.064
2011,38.45,19.67,888.5930000000001
2012,37.75,19.04,851.2149999999999
2013,37.19,19.59,779.5219999999999
2014,37.01,20.39,789.378
2015,38.59,20.52,823.2
2016,38.5,20.29,792.9380000000001
2017,38.9,20.72,840.786
2018,39.16,21.0,834.042
2019,39.35,20.53,783.079
2020,39.71,20.96,678.1879999999999
1990,8.55,6.43,200.64100000000002
1991,8.49,6.19,200.19
1992,8.62,6.3,208.815
1993,8.57,6.49,202.221
1994,8.45,6.38,206.36099999999996
1995,8.32,6.23,204.433
1996,8.32,6.4,217.62399999999997
1997,8.26,6.37,202.96399999999997
1998,8.08,6.34,205.38100000000003
1999,7.82,6.18,194.167
2000,7.66,6.22,195.71800000000002
2001,7.5,5.94,191.69999999999996
2002,7.27,5.9,195.31800000000004
2003,7.08,5.89,202.48399999999995
2004,7.09,5.95,200.44499999999996
2005,6.8,5.84,199.06199999999995
2006,6.66,5.82,200.01300000000003
2007,6.38,5.71,197.787
2008,6.09,5.88,191.72799999999998
2009,5.93,5.65,171.71900000000002
2010,5.86,5.9,192.38400000000001
2011,5.83,5.67,182.68
2012,5.7,5.59,170.933
2013,5.53,5.63,164.523
2014,5.4,5.86,160.101
2015,5.2,5.93,158.107
2016,5.15,5.95,158.035
2017,5.12,6.15,157.16800000000003
2018,4.97,5.99,156.68800000000002
2019,4.85,6.19,150.753
2020,4.79,6.38,134.72
1990,6.44,2.9,174.20700000000002
1991,6.35,2.88,180.458
1992,6.27,2.85,187.656
1993,6.24,2.8,174.44699999999997
1994,6.2,2.8,171.917
1995,6.14,2.78,177.316
1996,6.14,2.76,196.416
1997,5.93,2.69,182.396
1998,5.87,2.68,206.118
1999,5.74,2.6,195.294
2000,5.68,2.6,176.667
2001,5.73,2.64,197.428
2002,5.69,2.53,184.52300000000002
2003,5.6,2.52,184.64199999999997
2004,5.52,2.54,189.72000000000006
2005,5.55,2.59,200.02700000000002
2006,5.56,2.6,208.238
2007,5.51,2.57,194.215
2008,5.59,2.64,196.00700000000003
2009,5.52,2.6,190.952
2010,5.53,2.6,190.97799999999998
2011,5.42,2.55,185.92700000000002
2012,5.4,2.5,234.25600000000003
2013,5.35,2.52,227.306
2014,5.28,2.5,216.22799999999995
2015,5.22,2.48,219.811
2016,5.21,2.49,239.917
2017,5.16,2.49,204.615
2018,5.13,2.46,198.749
2019,5.04,2.4,195.05699999999996
2020,4.98,2.4,175.49
1990,38.21,26.8,518.605
1991,37.04,25.61,529.886
1992,37.74,26.57,577.624
1993,37.58,27.58,573.5640000000001
1994,37.03,24.77,545.391
1995,36.97,25.13,586.534
1996,36.9,25.69,609.9570000000001
1997,37.65,25.77,648.9630000000001
1998,37.22,27.06,651.163
1999,38.16,27.0,646.7539999999999
2000,38.78,26.52,715.0160000000002
2001,37.97,23.95,632.3969999999999
2002,37.34,24.31,667.6949999999999
2003,37.02,24.8,721.184
2004,37.08,24.97,769.16
2005,38.45,25.38,835.082
2006,39.8,26.9,893.633
2007,42.27,25.68,992.111
2008,42.84,23.83,973.21
2009,42.41,26.78,959.328
2010,42.38,26.26,986.7999999999998
2011,44.0,26.15,1072.023
2012,45.46,28.31,1110.726
2013,44.42,30.78,1081.9869999999999
2014,46.62,30.61,1127.545
2015,42.51,31.02,1183.218
2016,44.56,33.27,1231.878
2017,44.98,32.87,1304.7150000000004
2018,48.22,33.42,1271.213
2019,49.36,34.98,1203.044
2020,50.46,38.15,1224.6280000000002
1990,91.93,44.58,1915.137
1991,88.91,41.87,1723.0640000000003
1992,81.03,37.76,1619.4189999999999
1993,77.41,33.33,1393.9969999999998
1994,73.94,30.85,1113.2169999999999
1995,69.68,28.1,999.42
1996,65.68,24.61,991.6429999999999
1997,60.09,24.31,957.928
1998,53.81,21.71,901.807
1999,52.07,20.47,834.9889999999999
2000,49.72,20.28,793.2760000000001
2001,47.21,20.62,864.807
2002,47.49,21.56,842.938
2003,47.2,20.38,851.5639999999999
2004,44.74,19.85,847.629
2005,43.4,19.76,878.086
2006,41.84,20.01,932.3480000000002
2007,41.56,21.12,966.541
2008,39.74,22.81,951.082
2009,37.0,20.38,806.3710000000001
2010,38.07,21.54,837.128
2011,36.97,24.01,885.501
2012,36.6,23.39,881.7899999999998
2013,37.11,25.15,868.3210000000001
2014,35.73,25.0,737.652
2015,33.93,24.17,632.457
2016,33.59,25.5,647.826
2017,33.45,26.28,627.351
2018,33.7,26.9,674.6409999999998
2019,33.2,27.59,649.7510000000002
2020,32.47,28.56,602.715
1990,111.25,59.04,1873.497
1991,111.74,58.14,1895.589
1992,112.05,52.91,1880.3599999999997
1993,113.49,48.89,1816.5580000000002
1994,115.63,49.47,1797.7939999999999
1995,116.51,47.77,1776.6499999999999
1996,117.55,48.63,1846.378
1997,116.73,47.97,1797.547
1998,116.0,47.73,1833.084
1999,113.76,37.96,1805.462
2000,109.9,36.94,1882.1760000000002
2001,104.86,35.54,1882.487
2002,102.72,33.51,1855.965
2003,98.44,33.11,1891.784
2004,93.27,34.01,1906.837
2005,89.38,32.84,1890.8110000000004
2006,84.85,31.78,1889.7179999999998
2007,80.57,31.83,1871.451
2008,75.04,31.64,1809.482
2009,69.48,29.33,1616.9470000000001
2010,64.55,29.85,1700.5949999999998
2011,60.59,28.9,1551.858
2012,58.3,28.5,1610.712
2013,54.46,28.5,1573.6109999999999
2014,52.0,29.3,1474.0659999999998
2015,51.49,29.19,1433.562
2016,53.07,28.93,1372.391
2017,52.8,29.19,1321.0010000000002
2018,52.23,28.96,1293.063
2019,51.5,29.22,1243.335
2020,50.42,27.7,1113.3310000000001
1990,673.88,239.74,15289.944
1991,675.93,238.78,15087.184000000001
1992,679.03,243.25,15496.680999999999
1993,671.94,246.39,15753.184999999998
1994,684.61,253.52,16041.113999999998
1995,682.64,255.78,16222.97
1996,681.39,262.89,16766.36
1997,671.83,256.15,17022.291000000005
1998,660.22,253.39,17278.196
1999,648.0,251.84,17597.981
2000,644.08,250.7,18274.211
2001,636.64,244.76,17992.368
2002,630.0,246.4,18186.091000000004
2003,630.12,255.03,18509.004999999994
2004,628.78,253.0,18842.943
2005,629.14,255.72,18988.43
2006,630.36,263.82,18813.091999999997
2007,636.64,268.0,18899.462999999996
2008,645.0,250.3,18145.589
2009,635.32,249.19,16740.902000000002
2010,653.3,256.66,17325.244
2011,659.04,264.28,16911.14
2012,671.09,256.03,16340.386
2013,674.34,258.22,16698.926
2014,699.9,259.33,16894.183999999997
2015,702.68,259.86,16543.227000000003
2016,683.93,265.33,16166.590999999997
2017,701.26,264.58,16055.471000000001
2018,744.96,267.19,16553.746000000003
2019,785.07,264.12,16209.975
2020,750.83,260.82,14615.814
1990,2787.78,809.97,21064.953999999998
1991,2774.46,805.44,21132.481999999996
1992,2705.23,795.35,19310.75
1993,2717.09,781.5,20132.150000000005
1994,2711.83,781.07,20121.862
1995,2758.83,819.52,21023.102000000003
1996,2781.37,838.58,21626.602999999996
1997,2728.72,805.46,21609.09
1998,2775.32,829.63,21194.494000000006
1999,2753.04,834.45,21622.269
2000,2793.9,826.92,22074.773
2001,2798.42,839.4,22498.586000000003
2002,2821.87,882.07,23611.852
2003,2917.88,895.95,26065.604999999996
2004,3039.22,920.85,27582.501
2005,3127.82,934.98,29579.64
2006,3165.84,945.68,31725.841999999993
2007,3234.52,976.05,33422.737
2008,3276.53,985.83,35327.020999999986
2009,3240.06,983.46,36417.22099999999
2010,3351.39,1032.82,39266.918999999994
2011,3397.33,1043.69,42332.871999999996
2012,3462.95,1055.15,43611.718
2013,3473.59,1064.34,44303.062000000005
2014,3496.02,1086.19,44660.895
2015,3501.78,1094.25,44196.549
2016,3473.25,1109.22,43918.184
2017,3496.02,1130.35,44851.33200000001
2018,3524.07,1108.37,45916.21
2019,3554.75,1121.44,46947.43000000001
2020,3493.3,1145.37,46604.988999999994
1990,6936.68,2368.32,68258.102
1991,6972.61,2354.73,69688.426
1992,6932.75,2348.68,67701.597
1993,6958.63,2332.57,68395.04900000001
1994,6996.12,2421.53,69104.32600000002
1995,7080.75,2475.69,70573.47200000001
1996,7097.47,2479.34,72750.488
1997,7328.28,2466.49,73187.85
1998,7204.1,2496.63,72992.83799999999
1999,7150.24,2483.51,74500.482
2000,7173.64,2475.74,76503.863
2001,7129.96,2506.68,77024.79000000001
2002,7270.7,2567.67,78744.86900000002
2003,7344.2,2608.23,82945.945
2004,7597.86,2689.61,85860.57900000001
2005,7655.39,2702.48,88776.309
2006,7840.96,2735.1,91817.30500000001
2007,7817.43,2803.84,94499.2
2008,7860.49,2769.83,96125.707
2009,7884.34,2770.11,94479.79999999999
2010,7986.74,2853.5,99918.98500000002
2011,8142.05,2915.9,103309.409
2012,8226.45,2936.0,104806.35900000001
2013,8203.1,2912.82,105697.401
2014,8358.29,2961.01,106398.58499999999
2015,8406.97,2995.08,106389.64899999996
2016,8290.55,3020.14,106380.08
2017,8377.51,3082.43,108076.35400000002
2018,8528.19,3066.1,110300.836
2019,8654.75,3099.48,111120.30599999998
2020,8428.66,3126.7,105023.214
